Freeze_Thaw,Matrix,Donor_ID,Aliquot,Analyte,Cytokine_Concentration
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,FASL,79
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,HGF,66.5
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,LEPTIN,451.3
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,MIF,49
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,PAI1/SERPINE1,8460
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,RESISTIN,9776.5
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,SFAS/TNFRSF6,85.8
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,SICAM1,1140.5
1,PL-EDTA,1,F1-PL-EDTA-1 DX10,SVCAM1,6594.5
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,FASL,68.5
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,HGF,90.5
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,LEPTIN,609.5
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,MIF,1350
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,PAI1/SERPINE1,12049
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,RESISTIN,5353.3
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,SFAS/TNFRSF6,157.8
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,SICAM1,3553.3
1,PL-EDTA,2,F1-PL-EDTA-2 DX10,SVCAM1,7069.8
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,FASL,48.5
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,HGF,51
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,LEPTIN,417.5
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,MIF,265.5
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,PAI1/SERPINE1,9450.5
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,RESISTIN,9462.8
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,SFAS/TNFRSF6,203
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,SICAM1,3401
1,PL-EDTA,3,F1-PL-EDTA-3 DX10,SVCAM1,6262
1,PL-HE,1,F1-PL-HE-1 DX10,FASL,63
1,PL-HE,1,F1-PL-HE-1 DX10,HGF,53
1,PL-HE,1,F1-PL-HE-1 DX10,LEPTIN,424.3
1,PL-HE,1,F1-PL-HE-1 DX10,MIF,54
1,PL-HE,1,F1-PL-HE-1 DX10,PAI1/SERPINE1,5389.5
1,PL-HE,1,F1-PL-HE-1 DX10,RESISTIN,10085.5
1,PL-HE,1,F1-PL-HE-1 DX10,SFAS/TNFRSF6,116
1,PL-HE,1,F1-PL-HE-1 DX10,SICAM1,1116.8
1,PL-HE,1,F1-PL-HE-1 DX10,SVCAM1,3228
1,PL-HE,2,F1-PL-HE-2 DX10,FASL,68
1,PL-HE,2,F1-PL-HE-2 DX10,HGF,58
1,PL-HE,2,F1-PL-HE-2 DX10,LEPTIN,656
1,PL-HE,2,F1-PL-HE-2 DX10,MIF,826.5
1,PL-HE,2,F1-PL-HE-2 DX10,PAI1/SERPINE1,10772.5
1,PL-HE,2,F1-PL-HE-2 DX10,RESISTIN,9252.5
1,PL-HE,2,F1-PL-HE-2 DX10,SFAS/TNFRSF6,129
1,PL-HE,2,F1-PL-HE-2 DX10,SICAM1,5598.8
1,PL-HE,2,F1-PL-HE-2 DX10,SVCAM1,9461.5
1,PL-HE,3,F1-PL-HE-3 DX10,FASL,42.8
1,PL-HE,3,F1-PL-HE-3 DX10,HGF,43.5
1,PL-HE,3,F1-PL-HE-3 DX10,LEPTIN,447.8
1,PL-HE,3,F1-PL-HE-3 DX10,MIF,421.8
1,PL-HE,3,F1-PL-HE-3 DX10,PAI1/SERPINE1,11109.8
1,PL-HE,3,F1-PL-HE-3 DX10,RESISTIN,11386.5
1,PL-HE,3,F1-PL-HE-3 DX10,SFAS/TNFRSF6,143.5
1,PL-HE,3,F1-PL-HE-3 DX10,SICAM1,3907.5
1,PL-HE,3,F1-PL-HE-3 DX10,SVCAM1,8697.3
1,SE,1,F1-SE-1 DX10,FASL,80
1,SE,1,F1-SE-1 DX10,HGF,130
1,SE,1,F1-SE-1 DX10,LEPTIN,432.3
1,SE,1,F1-SE-1 DX10,MIF,38
1,SE,1,F1-SE-1 DX10,PAI1/SERPINE1,13158.5
1,SE,1,F1-SE-1 DX10,RESISTIN,16054.8
1,SE,1,F1-SE-1 DX10,SFAS/TNFRSF6,73
1,SE,1,F1-SE-1 DX10,SICAM1,1109
1,SE,1,F1-SE-1 DX10,SVCAM1,7967.3
1,SE,2,F1-SE-2 DX10,FASL,48
1,SE,2,F1-SE-2 DX10,HGF,105.3
1,SE,2,F1-SE-2 DX10,LEPTIN,623
1,SE,2,F1-SE-2 DX10,MIF,57.5
1,SE,2,F1-SE-2 DX10,PAI1/SERPINE1,15156.3
1,SE,2,F1-SE-2 DX10,RESISTIN,6328.5
1,SE,2,F1-SE-2 DX10,SFAS/TNFRSF6,130
1,SE,2,F1-SE-2 DX10,SICAM1,4049
1,SE,2,F1-SE-2 DX10,SVCAM1,8925
1,SE,3,F1-SE-3 DX10,FASL,37
1,SE,3,F1-SE-3 DX10,HGF,63.5
1,SE,3,F1-SE-3 DX10,LEPTIN,431.3
1,SE,3,F1-SE-3 DX10,MIF,38.5
1,SE,3,F1-SE-3 DX10,PAI1/SERPINE1,14586.8
1,SE,3,F1-SE-3 DX10,RESISTIN,10712.3
1,SE,3,F1-SE-3 DX10,SFAS/TNFRSF6,182.3
1,SE,3,F1-SE-3 DX10,SICAM1,3462.5
1,SE,3,F1-SE-3 DX10,SVCAM1,7340.5
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,FASL,82.5
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,HGF,68.5
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,LEPTIN,434.8
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,MIF,53
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,PAI1/SERPINE1,8667.3
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,RESISTIN,10257.3
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,SFAS/TNFRSF6,91.5
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,SICAM1,1056
2,PL-EDTA,1,F2-PL-EDTA-1 DX10,SVCAM1,6752
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,FASL,54.3
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,HGF,65
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,LEPTIN,506
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,MIF,905.5
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,PAI1/SERPINE1,10862.8
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,RESISTIN,6236.3
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,SFAS/TNFRSF6,132
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,SICAM1,2915.8
2,PL-EDTA,2,F2-PL-EDTA-2 DX10,SVCAM1,6493
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,FASL,41
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,HGF,48.5
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,LEPTIN,404.5
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,MIF,317
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,PAI1/SERPINE1,9684.3
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,RESISTIN,8952
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,SFAS/TNFRSF6,169.8
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,SICAM1,3084.5
2,PL-EDTA,3,F2-PL-EDTA-3 DX10,SVCAM1,5795.3
2,PL-HE,1,F2-PL-HE-1 DX10,FASL,85.5
2,PL-HE,1,F2-PL-HE-1 DX10,HGF,49
2,PL-HE,1,F2-PL-HE-1 DX10,LEPTIN,448.3
2,PL-HE,1,F2-PL-HE-1 DX10,MIF,52
2,PL-HE,1,F2-PL-HE-1 DX10,PAI1/SERPINE1,10561.8
2,PL-HE,1,F2-PL-HE-1 DX10,RESISTIN,12604
2,PL-HE,1,F2-PL-HE-1 DX10,SFAS/TNFRSF6,99.3
2,PL-HE,1,F2-PL-HE-1 DX10,SICAM1,1316.8
2,PL-HE,1,F2-PL-HE-1 DX10,SVCAM1,7947.3
2,PL-HE,2,F2-PL-HE-2 DX10,FASL,60
2,PL-HE,2,F2-PL-HE-2 DX10,HGF,53.5
2,PL-HE,2,F2-PL-HE-2 DX10,LEPTIN,598
2,PL-HE,2,F2-PL-HE-2 DX10,MIF,1003.3
2,PL-HE,2,F2-PL-HE-2 DX10,PAI1/SERPINE1,11247
2,PL-HE,2,F2-PL-HE-2 DX10,RESISTIN,8963
2,PL-HE,2,F2-PL-HE-2 DX10,SFAS/TNFRSF6,104
2,PL-HE,2,F2-PL-HE-2 DX10,SICAM1,5145.5
2,PL-HE,2,F2-PL-HE-2 DX10,SVCAM1,10343.5
2,PL-HE,3,F2-PL-HE-3 DX10,FASL,37.5
2,PL-HE,3,F2-PL-HE-3 DX10,HGF,35
2,PL-HE,3,F2-PL-HE-3 DX10,LEPTIN,381.5
2,PL-HE,3,F2-PL-HE-3 DX10,MIF,389.5
2,PL-HE,3,F2-PL-HE-3 DX10,PAI1/SERPINE1,9772.5
2,PL-HE,3,F2-PL-HE-3 DX10,RESISTIN,9863.3
2,PL-HE,3,F2-PL-HE-3 DX10,SFAS/TNFRSF6,144.8
2,PL-HE,3,F2-PL-HE-3 DX10,SICAM1,4067.8
2,PL-HE,3,F2-PL-HE-3 DX10,SVCAM1,8002.5
2,SE,1,F2-SE-1 DX10,FASL,79
2,SE,1,F2-SE-1 DX10,HGF,126.3
2,SE,1,F2-SE-1 DX10,LEPTIN,403.5
2,SE,1,F2-SE-1 DX10,MIF,40.5
2,SE,1,F2-SE-1 DX10,PAI1/SERPINE1,12933
2,SE,1,F2-SE-1 DX10,RESISTIN,16183
2,SE,1,F2-SE-1 DX10,SFAS/TNFRSF6,77.5
2,SE,1,F2-SE-1 DX10,SICAM1,1002.5
2,SE,1,F2-SE-1 DX10,SVCAM1,8026
2,SE,2,F2-SE-2 DX10,FASL,48.8
2,SE,2,F2-SE-2 DX10,HGF,102
2,SE,2,F2-SE-2 DX10,LEPTIN,587.5
2,SE,2,F2-SE-2 DX10,MIF,61
2,SE,2,F2-SE-2 DX10,PAI1/SERPINE1,15255.8
2,SE,2,F2-SE-2 DX10,RESISTIN,6627.5
2,SE,2,F2-SE-2 DX10,SFAS/TNFRSF6,134.3
2,SE,2,F2-SE-2 DX10,SICAM1,3788
2,SE,2,F2-SE-2 DX10,SVCAM1,8446.8
2,SE,3,F2-SE-3 DX10,FASL,34
2,SE,3,F2-SE-3 DX10,HGF,59
2,SE,3,F2-SE-3 DX10,LEPTIN,392.5
2,SE,3,F2-SE-3 DX10,MIF,38
2,SE,3,F2-SE-3 DX10,PAI1/SERPINE1,14238.3
2,SE,3,F2-SE-3 DX10,RESISTIN,10960.5
2,SE,3,F2-SE-3 DX10,SFAS/TNFRSF6,194
2,SE,3,F2-SE-3 DX10,SICAM1,3286
2,SE,3,F2-SE-3 DX10,SVCAM1,7482.3
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,FASL,73.5
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,HGF,67.8
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,LEPTIN,390.3
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,MIF,53
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,PAI1/SERPINE1,8914
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,RESISTIN,10521
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,SFAS/TNFRSF6,86.5
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,SICAM1,1024
3,PL-EDTA,1,F3-PL-EDTA-1 DX10,SVCAM1,6375.5
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,FASL,69
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,HGF,82
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,LEPTIN,512.3
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,MIF,1418.5
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,PAI1/SERPINE1,12250
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,RESISTIN,4079
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,SFAS/TNFRSF6,142.8
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,SICAM1,3253.5
3,PL-EDTA,2,F3-PL-EDTA-2 DX10,SVCAM1,6101
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,FASL,36
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,HGF,50.3
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,LEPTIN,365.3
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,MIF,329
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,PAI1/SERPINE1,9941.5
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,RESISTIN,9811
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,SFAS/TNFRSF6,180
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,SICAM1,3287
3,PL-EDTA,3,F3-PL-EDTA-3 DX10,SVCAM1,5387.8
3,PL-HE,1,F3-PL-HE-1 DX10,FASL,78.5
3,PL-HE,1,F3-PL-HE-1 DX10,HGF,52
3,PL-HE,1,F3-PL-HE-1 DX10,LEPTIN,395.5
3,PL-HE,1,F3-PL-HE-1 DX10,MIF,53
3,PL-HE,1,F3-PL-HE-1 DX10,PAI1/SERPINE1,9578
3,PL-HE,1,F3-PL-HE-1 DX10,RESISTIN,12204.8
3,PL-HE,1,F3-PL-HE-1 DX10,SFAS/TNFRSF6,110
3,PL-HE,1,F3-PL-HE-1 DX10,SICAM1,1153.8
3,PL-HE,1,F3-PL-HE-1 DX10,SVCAM1,8104.5
3,PL-HE,2,F3-PL-HE-2 DX10,FASL,64.3
3,PL-HE,2,F3-PL-HE-2 DX10,HGF,53.3
3,PL-HE,2,F3-PL-HE-2 DX10,LEPTIN,510.3
3,PL-HE,2,F3-PL-HE-2 DX10,MIF,998.5
3,PL-HE,2,F3-PL-HE-2 DX10,PAI1/SERPINE1,12321.8
3,PL-HE,2,F3-PL-HE-2 DX10,RESISTIN,9503.5
3,PL-HE,2,F3-PL-HE-2 DX10,SFAS/TNFRSF6,136.8
3,PL-HE,2,F3-PL-HE-2 DX10,SICAM1,5614.5
3,PL-HE,2,F3-PL-HE-2 DX10,SVCAM1,10470
3,PL-HE,3,F3-PL-HE-3 DX10,FASL,38
3,PL-HE,3,F3-PL-HE-3 DX10,HGF,34.3
3,PL-HE,3,F3-PL-HE-3 DX10,LEPTIN,357.5
3,PL-HE,3,F3-PL-HE-3 DX10,MIF,405.5
3,PL-HE,3,F3-PL-HE-3 DX10,PAI1/SERPINE1,12504.8
3,PL-HE,3,F3-PL-HE-3 DX10,RESISTIN,11902.8
3,PL-HE,3,F3-PL-HE-3 DX10,SFAS/TNFRSF6,170
3,PL-HE,3,F3-PL-HE-3 DX10,SICAM1,4863
3,PL-HE,3,F3-PL-HE-3 DX10,SVCAM1,8936.5
3,SE,1,F3-SE-1 DX10,FASL,78.5
3,SE,1,F3-SE-1 DX10,HGF,129.5
3,SE,1,F3-SE-1 DX10,LEPTIN,357.8
3,SE,1,F3-SE-1 DX10,MIF,36.5
3,SE,1,F3-SE-1 DX10,PAI1/SERPINE1,13421
3,SE,1,F3-SE-1 DX10,RESISTIN,16991
3,SE,1,F3-SE-1 DX10,SFAS/TNFRSF6,80.5
3,SE,1,F3-SE-1 DX10,SICAM1,880.5
3,SE,1,F3-SE-1 DX10,SVCAM1,7774
3,SE,2,F3-SE-2 DX10,FASL,56.5
3,SE,2,F3-SE-2 DX10,HGF,112.8
3,SE,2,F3-SE-2 DX10,LEPTIN,547
3,SE,2,F3-SE-2 DX10,MIF,71.3
3,SE,2,F3-SE-2 DX10,PAI1/SERPINE1,15745.5
3,SE,2,F3-SE-2 DX10,RESISTIN,7251.5
3,SE,2,F3-SE-2 DX10,SFAS/TNFRSF6,157
3,SE,2,F3-SE-2 DX10,SICAM1,4075
3,SE,2,F3-SE-2 DX10,SVCAM1,9098
3,SE,3,F3-SE-3 DX10,FASL,33.8
3,SE,3,F3-SE-3 DX10,HGF,60.3
3,SE,3,F3-SE-3 DX10,LEPTIN,335
3,SE,3,F3-SE-3 DX10,MIF,36.3
3,SE,3,F3-SE-3 DX10,PAI1/SERPINE1,14018
3,SE,3,F3-SE-3 DX10,RESISTIN,11349.3
3,SE,3,F3-SE-3 DX10,SFAS/TNFRSF6,193.8
3,SE,3,F3-SE-3 DX10,SICAM1,3194
3,SE,3,F3-SE-3 DX10,SVCAM1,7173.5
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,FASL,76
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,HGF,69
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,LEPTIN,351.5
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,MIF,49.5
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,PAI1/SERPINE1,8934.3
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,RESISTIN,10745.3
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,SFAS/TNFRSF6,84
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,SICAM1,971
4,PL-EDTA,1,F4-PL-EDTA-1 DX10,SVCAM1,6052.5
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,FASL,61
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,HGF,59
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,LEPTIN,0
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,MIF,347.5
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,PAI1/SERPINE1,10846.5
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,RESISTIN,6639.3
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,SFAS/TNFRSF6,77.8
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,SICAM1,2356
4,PL-EDTA,2,F4-PL-EDTA-2 DX10,SVCAM1,6095.8
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,FASL,29
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,HGF,39.8
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,LEPTIN,237.5
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,MIF,311.5
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,PAI1/SERPINE1,9253.5
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,RESISTIN,7818
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,SFAS/TNFRSF6,122.5
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,SICAM1,3111.8
4,PL-EDTA,3,F4-PL-EDTA-3 DX10,SVCAM1,5576.8
4,PL-HE,1,F4-PL-HE-1 DX10,FASL,70
4,PL-HE,1,F4-PL-HE-1 DX10,HGF,39.5
4,PL-HE,1,F4-PL-HE-1 DX10,LEPTIN,306
4,PL-HE,1,F4-PL-HE-1 DX10,MIF,47
4,PL-HE,1,F4-PL-HE-1 DX10,PAI1/SERPINE1,9876
4,PL-HE,1,F4-PL-HE-1 DX10,RESISTIN,11911
4,PL-HE,1,F4-PL-HE-1 DX10,SFAS/TNFRSF6,82.5
4,PL-HE,1,F4-PL-HE-1 DX10,SICAM1,1148.3
4,PL-HE,1,F4-PL-HE-1 DX10,SVCAM1,7636.3
